"id","name","name_short","starts_at_lt","ends_at_lt"
"6f658260-1116-4578-b4a0-a49473b25544","1С Бухгалтерия","1СБ",2022-02-21 00:00:00.000,2022-07-14 00:00:00.000
"08adf002-e5c7-45cb-911c-2fc34545db2a","1С Бухгалтерия","1СБ",2022-01-10 00:00:00.000,2022-07-25 00:00:00.000
"9e09a8ae-2650-4836-b677-00bc1278d77d","1 С для малого бизнеса","1 С МБ",2022-02-14 00:00:00.000,2022-09-01 00:00:00.000
"6ddd6d0b-023f-4fdc-b871-e455cf7dff2e","3D и медийная реклама в программе 3DS MAX",Проектирование в 3ds Max,2021-09-01 00:00:00.000,2022-02-06 00:00:00.000
"143dacf6-d342-4f0b-9461-f3dcd4fdef96","3D и медийная реклама в программе 3DS MAX",Проектирование в 3ds Max,2022-02-14 00:00:00.000,2022-09-01 00:00:00.000
fb80efb7-57a2-4f40-a273-ea5f63ce1edf,Academic Writing // Академическое письмо,Acadчкemic Writing,2022-01-31 00:00:00.000,2022-04-18 00:00:00.000
"695dc32b-9fbb-4bab-b884-ab59dcbc6c63",ANSO RESEARCH SEMINAR,RS ANSO-3,2022-04-18 00:00:00.000,2022-06-12 00:00:00.000
d9174000-ce36-4a39-94e8-22083b37380c,Behavioral Economics / Поведенческая экономика,ПЭ,2022-01-10 00:00:00.000,2022-07-25 00:00:00.000
"73baf49b-930c-4574-b8b5-2f7d7493d0ab",Behavioral Economics / Поведенческая экономика,ПЭ,2022-02-21 00:00:00.000,2022-07-14 00:00:00.000
"44dfbb6c-a9e1-4d1d-997c-22d26ef86e0c",BLACK ATLANTIC,BLACK ATLANTIC,2022-04-18 00:00:00.000,2022-06-12 00:00:00.000
b5dadab3-1383-4d1f-884f-4cf2073839eb,Blockchain / Блокчейн,Blockchain,2021-11-01 00:00:00.000,2022-01-31 00:00:00.000
"9b37ee35-dd76-42e2-a64e-2bf55a08e112",BTL (мерчендайзинг и стимулирование),BTL,2022-02-14 00:00:00.000,2022-09-01 00:00:00.000
"98ebc450-cd46-4e8b-8b9f-18a669e45a6f",Business Engineering in Entrepreneurship / Бизнес - проектирование в предпринимательстве (с приложением сертифицированной компьютерной программы),BEE,2022-01-31 00:00:00.000,2022-07-18 00:00:00.000
db972878-d83c-4a58-9438-095c718034e2,Business Processes / Бизнес-процессы,Business Processes,2021-11-01 00:00:00.000,2022-01-31 00:00:00.000
"724b662d-12ad-4f31-9dd6-60c7402b875f",CAD-системы в ландшафтной архитектуре,CAD_ЛА,2021-09-01 00:00:00.000,2022-01-24 00:00:00.000
d23352f4-1964-419b-9d33-621e7dcbb4e6,Catalysts for Change in the Political Organization of Societies / Катализаторы изменений в политическом устройстве обществ ,Catalysts for Change,2022-01-31 00:00:00.000,2022-04-18 00:00:00.000
cfca1e06-1075-4663-843f-8f7f74cc96b8,Comparative Higher Education / Сравнительное высшее образование,Comparative HE,2021-09-01 00:00:00.000,2022-01-31 00:00:00.000
"25e4a12b-720d-4cf1-b279-3fb8885b9886",Contemporary methods of sociological studies / Современные методы социологического исследования,СМСИ,2022-02-14 00:00:00.000,2022-07-17 00:00:00.000
"0bb23001-1d2d-4825-bacd-55b745d2cd87","Critical Theory: Key Thinkers, Texts, and Concepts / Критическая теория: ключевые мыслители, тексты и концепции",Critical Theory,2021-11-01 00:00:00.000,2022-01-31 00:00:00.000
cde07e62-49e1-4f0e-9d80-69d90952afc8, CULT RESEARCH SEMINAR,RS,2022-04-18 00:00:00.000,2022-06-12 00:00:00.000
"63a374fa-9a85-4e83-a245-b8de52dc0942",Curricular and Instructional Design / Конструирование учебных планов и педагогическое проектирование ,Instructional and Curricular Design,2021-11-01 00:00:00.000,2022-01-31 00:00:00.000
"6e9fca1b-9b7d-4c09-a254-793978153626",Databases / Базы данных,Databases,2021-11-01 00:00:00.000,2022-01-31 00:00:00.000
"3afdf669-c638-4279-bbd6-2ba6291e0e52",Death and Death Drive / Смерть и влечение к смерти,Death and Death Drive,2022-01-31 00:00:00.000,2022-04-18 00:00:00.000
"211cd957-4d45-4a51-ae03-1048e3f3f4f6",Decisions under Uncertainty / Принятие решений в условиях неопределенности ,Decisions under Uncertainty,2022-01-31 00:00:00.000,2022-04-18 00:00:00.000
