"id","grid_id","name","starts_at_lt","ends_at_lt"
Grid.03.00,Grid.03,"",07:00:00,08:00:00
Grid.03.01,Grid.03,"1 пара",09:00:00,10:30:00
Grid.03.02,Grid.03,"2 пара",10:40:00,12:10:00
Grid.03.03,Grid.03,"3 пара",12:30:00,14:00:00
Grid.03.04,Grid.03,"4 пара",14:20:00,15:50:00
Grid.03.05,Grid.03,"",16:00:00,17:30:00
Grid.03.06,Grid.03,"5 пара",17:40:00,19:10:00
Grid.03.07,Grid.03,"6 пара",19:20:00,20:50:00
Grid.05.00,Grid.05,,07:00:00,08:00:00
Grid.05.01,Grid.05,"1 пара",08:30:00,10:00:00
Grid.05.02,Grid.05,"2 пара",10:15:00,11:45:00
Grid.05.03,Grid.05,"3 пара",12:00:00,13:30:00
Grid.05.04,Grid.05,"4 пара",14:00:00,15:30:00
Grid.05.05,Grid.05,"5 пара",15:45:00,17:15:00
Grid.05.06,Grid.05,"6 пара",17:30:00,19:00:00
Grid.05.07,Grid.05,"7 пара",19:10:00,20:40:00
Grid.05.08,Grid.05,"8 пара",20:50:00,22:20:00
